TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g000958,G06,g000958,13;21;3,2023-05-27,2023-05-28,자가용,충청권 방문/충청권 외 거주/39세 이하/부부/일반미션,13;21;3,3;13;21
g_g000959,G03,g000959,10;2;23;5,2023-06-09,2023-06-12,자가용,전라권 방문/호남권 거주/40세 이상/자녀동반/일반미션,10;2;23;5,2;10;11
g_g000965,G01,g000965,23;7,2023-05-27,2023-05-29,자가용,전라권 방문/호남권 외 거주/39세 이하/부부/일반미션,23;7,7;3;10
g_g000967,G05,g000967,3;2;21;13;6,2023-05-27,2023-05-29,자가용,충청권 방문/충청권 외 거주/39세 이하/3인 이상 친구/일반미션,3;2;21;13;6,21;3;13
g_g000972,G03,g000972,12;22;26;6;9,2023-05-27,2023-05-30,자가용,전라권 방문/호남권 외 거주/39세 이하/부부/일반미션,12;22;26;6;9,22;26;9
g_g000974,G06,g000974,10;11;21;3;5,2023-06-01,2023-06-03,대중교통 등,충청권 방문/충청권 외 거주/40세 이상/부부/일반미션,10;11;21;3;5,3;21;10
g_g000976,G02,g000976,1;2;3;5;6;11;12;13;22;24;25;27;28;26,2023-05-27,2023-05-30,자가용,전북 방문/거주지 구분 없음/40세 이상/특별미션,1;2;3;5;6;11;12;13;22;24;25;27;28;26,2;28;6
g_g000982,G06,g000982,1;2;3;4;5,2023-06-02,2023-06-05,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;2;3;4;5,6;21;4
g_g000983,G06,g000983,9;26;6,2023-05-30,2023-06-01,자가용,충남 방문/거주지 구분 없음/40세 이상/특별미션,9;26;6,6;8;3
g_g000985,G05,g000985,1;3;4;6;7,2023-05-26,2023-05-29,자가용,충청권 방문/충청권 거주/39세 이하/커플/일반미션,1;3;4;6;7,9;1;6
g_g000986,G06,g000986,22;26;3;5;8,2023-06-04,2023-06-06,자가용,충청권 방문/충청권 거주/39세 이하/커플/일반미션,22;26;3;5;8,3;4;24
g_g000987,G02,g000987,22,2023-06-03,2023-06-05,자가용,전북 방문/거주지 구분 없음/39세 이하/특별미션,22,22;6;23
